[2026-05-21 14:41:04] [INFO    ] discord.client: logging in using static token
[2026-05-21 14:41:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Dipersa Test', 'primary_guild': None, 'mfa_enabled': True, 'id': '1507073069074874419', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '2699', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'd57bd3a4ec23923b18a1c15a642055a0', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1498392028378173461'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-south', 'atlanta', 'us-central', 'us-east', 'us-west'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1507073069074874419', 'flags_new': '557056', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-q2f4",{"micros":255197,"calls":["id_created",{"micros":508,"calls":[]},"session_lookup_time",{"micros":355,"calls":[]},"session_lookup_finished",{"micros":19,"calls":[]},"sessions-prd-gcp-us-east1-d-68",{"micros":253479,"calls":["start_session",{"micros":242748,"calls":["prd-rpc-557d85cdf9-tj2j2",{"micros":125679,"calls":["get_user",{"micros":10002},"get_guilds",{"micros":3713},"send_scheduled_deletion_message",{"micros":10},"guild_join_requests",{"micros":2417},"authorized_ip_coro",{"micros":14},"pending_payments",{"micros":1686},"apex_experiments",{"micros":106931},"sessions_experiments",{"micros":9},"played_application_ids",{"micros":6},"linked_users",{"micros":5},"ad_personalization_toggles_disabled",{"micros":5},"regional_feature_config",{"micros":5}]}]},"starting_guild_connect",{"micros":60,"calls":[]},"presence_started",{"micros":521,"calls":[]},"guilds_started",{"micros":69,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":10052,"calls":[]},"connect_finished",{"micros":10066,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":2,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-05-21 14:41:05] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-21 14:41:05] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: d57bd3a4ec23923b18a1c15a642055a0).
[2026-05-21 14:41:05] [DEBUG   ] discord.client: Dispatching event connect
[2026-05-21 14:41:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'incidents_data': None, 'region': 'deprecated', 'verification_role_id': None, 'stage_instances': [], 'preferred_locale': 'en-US', 'unavailable': False, 'profile': None, 'safety_alerts_channel_id': None, 'moderator_reporting': None, 'application_command_counts': {}, 'embedded_activities': [], 'voice_states': [], 'member_count': 3, 'experiments': {'evaluation_id': None, 'assignments': []}, 'max_video_channel_users': 25, 'vanity_url_code': None, 'id': '1498392028378173461', 'nsfw_level': 0, 'afk_timeout': 300, 'game_application_ids': None, 'name': 'Discord Bot Test', 'premium_subscription_count': 0, 'afk_channel_id': None, 'features': [], 'rules_channel_id': None, 'max_members': 25000000, 'application_id': None, 'system_channel_flags': 0, 'soundboard_sounds': [], 'threads': [], 'hub_type': None, 'default_message_notifications': 0, 'members': [{'user': {'username': 'Dipersa Test', 'public_flags': 0, 'primary_guild': None, 'id': '1507073069074874419', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2699', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1507077895540048065'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-05-21T17:49:30.536357+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'system_channel_id': '1498392030500356162', 'description': None, 'explicit_content_filter': 0, 'discovery_splash': None, 'premium_tier': 0, 'theme': None, 'channels': [{'version': 1777314898860, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1498392030500356158', 'flags': 0}, {'version': 1777314898876, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1498392030500356160', 'flags': 0}, {'version': 1777314898936, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1498392030500356158', 'name': 'general', 'last_message_id': '1507077896253210645', 'id': '1498392030500356162', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1777314899001, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1498392030500356160', 'name': 'General', 'last_message_id': None, 'id': '1498392030987030558', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1777314960211, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1498392030500356158', 'name': 'commands', 'last_message_id': '1507104374265221310', 'id': '1498392287816712292', 'flags': 0}, {'version': 1777325218369, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1498392030500356158', 'name': 'documentation', 'last_message_id': '1499158641440329888', 'id': '1498393880511381524', 'flags': 0}, {'version': 1777324311954, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [], 'parent_id': '1498392030500356158', 'name': 'test', 'last_message_id': '1507080846681706578', 'id': '1498431511903604896', 'flags': 0}, {'version': 1777324325231, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1498392030500356160', 'name': 'test', 'last_message_id': None, 'id': '1498431547009929430', 'flags': 0, 'bitrate': 64000}, {'version': 1779386052828, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [], 'parent_id': '1498392030500356158', 'nsfw': False, 'name': 'dipersa-workspace', 'last_message_id': None, 'id': '1499457234168713277', 'flags': 0}], 'verification_level': 0, 'official_message_color': None, 'nsfw': False, 'stickers': [], 'owner_configured_content_level': 0, 'mfa_level': 0, 'roles': [{'version': 1777314898837, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1498392028378173461', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1777333189580, 'unicode_emoji': None, 'tags': {}, 'position': 2, 'permissions': '2252899597151799', 'name': 'dev', 'mentionable': False, 'managed': False, 'id': '1498394076884635740', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15277667}, 'color': 15277667}, {'version': 1777326322562, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'tester', 'mentionable': False, 'managed': False, 'id': '1498439877014982786', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1779385770502, 'unicode_emoji': None, 'tags': {'bot_id': '1507073069074874419'}, 'position': 1, 'permissions': '563276639759424', 'name': 'Dipersa Test', 'mentionable': False, 'managed': True, 'id': '1507077895540048065', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'premium_features': None, 'lazy': True, 'home_header': None, 'icon': None, 'public_updates_channel_id': None, 'premium_progress_bar_enabled_user_updated_at': None, 'banner': None, 'emojis': [], 'premium_progress_bar_enabled': False, 'presences': [], 'splash': None, 'guild_scheduled_events': [], 'latest_onboarding_question_id': None, 'version': 1777315328210, 'owner_id': '661983459954262036', 'large': False, 'max_stage_video_channel_users': 50, 'inventory_settings': None, 'joined_at': '2026-05-21T17:49:30.536357+00:00', 'activity_instances': []}}
[2026-05-21 14:41:05] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-21 14:41:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'ed817956a1c95f825f32094f87f9efa4', 'members': [{'user': {'username': 'scar_agathor', 'public_flags': 0, 'primary_guild': None, 'id': '661983459954262036', 'global_name': 'jean pork', 'display_name_styles': None, 'display_name': 'jean pork', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '7ac59364ff9f929e9ccbe5a2ff8c6257'}, 'roles': ['1498394076884635740'], 'premium_since': None, 'pending': False, 'nick': 'Eddie', 'mute': False, 'joined_at': '2026-04-27T18:34:58.498000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'drex_region', 'public_flags': 0, 'primary_guild': {'tag': 'AGIV', 'identity_guild_id': '1167423028553056268', 'identity_enabled': True, 'badge': '5607047f21b7e25a26c195cc49871278'}, 'id': '1063979499928158308', 'global_name': 'DrexRegion', 'display_name_styles': None, 'display_name': 'DrexRegion', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1498439877014982786', '1498394076884635740'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-27T18:36:18.915000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Dipersa Test', 'public_flags': 0, 'primary_guild': None, 'id': '1507073069074874419', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2699', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1507077895540048065'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-05-21T17:49:30.536357+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1498392028378173461', 'chunk_index': 0, 'chunk_count': 1}}
[2026-05-21 14:41:05] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-21 14:41:05] [DEBUG   ] discord.state: Processed a chunk for 3 members in guild ID 1498392028378173461.
[2026-05-21 14:41:07] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-05-21 14:41:07] [DEBUG   ] discord.client: Dispatching event ready
[2026-05-21 14:41:07] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1507073069074874419/guilds/1498392028378173461/commands with [{"name":"signup","description":"Connect your discord user to ClickUp","type":1,"options":[{"type":4,"name":"id","description":"\u2026","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"assignme","description":"Assign yourself a task on ClickUp","type":1,"options":[{"type":3,"name":"task","description":"\u2026","required":true},{"type":3,"name":"team","description":"\u2026","required":true,"choices":[{"name":"Mobile App","value":"mobile_app"},{"name":"Integration","value":"integration"},{"name":"Internal Tools","value":"internal_tools"},{"name":"Infrastructure","value":"infrastructure"},{"name":"Website","value":"website"}]},{"type":3,"name":"list","description":"\u2026","required":true,"choices":[{"name":"Backlog","value":"backlog"},{"name":"Current Sprint","value":"current_sprint"},{"name":"Bugs","value":"bugs"}]},{"type":3,"name":"priority","description":"\u2026","required":true,"choices":[{"name":"Urgent","value":"1"},{"name":"High","value":"2"},{"name":"Normal","value":"3"},{"name":"Low","value":"4"}]},{"type":3,"name":"desc","description":"\u2026","required":false}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"assign","description":"Assign a user a task on ClickUp","type":1,"options":[{"type":6,"name":"user","description":"\u2026","required":true},{"type":3,"name":"task","description":"\u2026","required":true},{"type":3,"name":"team","description":"\u2026","required":true,"choices":[{"name":"Mobile App","value":"mobile_app"},{"name":"Integration","value":"integration"},{"name":"Internal Tools","value":"internal_tools"},{"name":"Infrastructure","value":"infrastructure"},{"name":"Website","value":"website"}]},{"type":3,"name":"list","description":"\u2026","required":true,"choices":[{"name":"Backlog","value":"backlog"},{"name":"Current Sprint","value":"current_sprint"},{"name":"Bugs","value":"bugs"}]},{"type":3,"name":"priority","description":"\u2026","required":true,"choices":[{"name":"Urgent","value":"1"},{"name":"High","value":"2"},{"name":"Normal","value":"3"},{"name":"Low","value":"4"}]},{"type":3,"name":"desc","description":"\u2026","required":false}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"viewmytasks","description":"Assign a user a task on ClickUp","type":1,"options":[{"type":3,"name":"team","description":"\u2026","required":false},{"type":3,"name":"list","description":"\u2026","required":false}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null}] has returned 200
[2026-05-21 14:41:07] [DEBUG   ] discord.http: PUT /applications/{application_id}/guilds/{guild_id}/commands has found its initial rate limit bucket hash (3e32a240d3716487d7d8f6dae6c54f6b).
[2026-05-21 14:41:07] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1507073069074874419/guilds/1498392028378173461/commands has received [{'id': '1507078867612078223', 'application_id': '1507073069074874419', 'version': '1507078867612078226', 'default_member_permissions': None, 'type': 1, 'name': 'signup', 'name_localizations': None, 'description': 'Connect your discord user to ClickUp', 'description_localizations': None, 'guild_id': '1498392028378173461', 'options': [{'type': 4, 'name': 'id', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}], 'nsfw': False}, {'id': '1507078867612078224', 'application_id': '1507073069074874419', 'version': '1507078867612078227', 'default_member_permissions': None, 'type': 1, 'name': 'assignme', 'name_localizations': None, 'description': 'Assign yourself a task on ClickUp', 'description_localizations': None, 'guild_id': '1498392028378173461', 'options': [{'type': 3, 'name': 'task', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}, {'type': 3, 'name': 'team', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True, 'choices': [{'name': 'Mobile App', 'name_localizations': None, 'value': 'mobile_app'}, {'name': 'Integration', 'name_localizations': None, 'value': 'integration'}, {'name': 'Internal Tools', 'name_localizations': None, 'value': 'internal_tools'}, {'name': 'Infrastructure', 'name_localizations': None, 'value': 'infrastructure'}, {'name': 'Website', 'name_localizations': None, 'value': 'website'}]}, {'type': 3, 'name': 'list', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True, 'choices': [{'name': 'Backlog', 'name_localizations': None, 'value': 'backlog'}, {'name': 'Current Sprint', 'name_localizations': None, 'value': 'current_sprint'}, {'name': 'Bugs', 'name_localizations': None, 'value': 'bugs'}]}, {'type': 3, 'name': 'priority', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True, 'choices': [{'name': 'Urgent', 'name_localizations': None, 'value': '1'}, {'name': 'High', 'name_localizations': None, 'value': '2'}, {'name': 'Normal', 'name_localizations': None, 'value': '3'}, {'name': 'Low', 'name_localizations': None, 'value': '4'}]}, {'type': 3, 'name': 'desc', 'name_localizations': None, 'description': '…', 'description_localizations': None}], 'nsfw': False}, {'id': '1507078867612078225', 'application_id': '1507073069074874419', 'version': '1507078867612078228', 'default_member_permissions': None, 'type': 1, 'name': 'assign', 'name_localizations': None, 'description': 'Assign a user a task on ClickUp', 'description_localizations': None, 'guild_id': '1498392028378173461', 'options': [{'type': 6, 'name': 'user', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}, {'type': 3, 'name': 'task', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}, {'type': 3, 'name': 'team', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True, 'choices': [{'name': 'Mobile App', 'name_localizations': None, 'value': 'mobile_app'}, {'name': 'Integration', 'name_localizations': None, 'value': 'integration'}, {'name': 'Internal Tools', 'name_localizations': None, 'value': 'internal_tools'}, {'name': 'Infrastructure', 'name_localizations': None, 'value': 'infrastructure'}, {'name': 'Website', 'name_localizations': None, 'value': 'website'}]}, {'type': 3, 'name': 'list', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True, 'choices': [{'name': 'Backlog', 'name_localizations': None, 'value': 'backlog'}, {'name': 'Current Sprint', 'name_localizations': None, 'value': 'current_sprint'}, {'name': 'Bugs', 'name_localizations': None, 'value': 'bugs'}]}, {'type': 3, 'name': 'priority', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True, 'choices': [{'name': 'Urgent', 'name_localizations': None, 'value': '1'}, {'name': 'High', 'name_localizations': None, 'value': '2'}, {'name': 'Normal', 'name_localizations': None, 'value': '3'}, {'name': 'Low', 'name_localizations': None, 'value': '4'}]}, {'type': 3, 'name': 'desc', 'name_localizations': None, 'description': '…', 'description_localizations': None}], 'nsfw': False}, {'id': '1507080803669250070', 'application_id': '1507073069074874419', 'version': '1507093570220331058', 'default_member_permissions': None, 'type': 1, 'name': 'viewmytasks', 'name_localizations': None, 'description': 'Assign a user a task on ClickUp', 'description_localizations': None, 'guild_id': '1498392028378173461', 'options': [{'type': 3, 'name': 'team', 'name_localizations': None, 'description': '…', 'description_localizations': None}, {'type': 3, 'name': 'list', 'name_localizations': None, 'description': '…', 'description_localizations': None}], 'nsfw': False}]
[2026-05-21 14:41:08] [DEBUG   ] discord.http: GET https://discord.com/api/v10/channels/1498392287816712292 with None has returned 200
[2026-05-21 14:41:08] [DEBUG   ] discord.http: GET /channels/{channel_id} has found its initial rate limit bucket hash (becd6ffb1d60830bb934e71f199ff84e).
[2026-05-21 14:41:08] [DEBUG   ] discord.http: GET https://discord.com/api/v10/channels/1498392287816712292 has received {'id': '1498392287816712292', 'type': 0, 'last_message_id': '1507104374265221310', 'flags': 0, 'guild_id': '1498392028378173461', 'name': 'commands', 'parent_id': '1498392030500356158', 'rate_limit_per_user': 0, 'topic': None, 'position': 1, 'permission_overwrites': [], 'nsfw': False}
[2026-05-21 14:41:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-05-21T19:41:07.772000+00:00', 'pinned': False, 'nonce': '1733051564599523417', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1507077895540048065'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-05-21T17:49:30.536357+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1507105986144370698', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'Hello Guys, Dipersa Test here', 'id': '1507105986144370699', 'description': 'I am a discord bot designed for use by the Spequlo Team on discord', 'content_scan_version': 0, 'color': 3447003}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1498392287816712292', 'author': {'username': 'Dipersa Test', 'public_flags': 0, 'primary_guild': None, 'id': '1507073069074874419', 'global_name': None, 'display_name_styles': None, 'discriminator': '2699', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1498392028378173461'}}
[2026-05-21 14:41:08] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-21 14:41:08] [DEBUG   ] discord.client: Dispatching event message
[2026-05-21 14:41:08] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1498392287816712292/messages with {"embeds":[{"flags":0,"color":3447003,"type":"rich","description":"I am a discord bot designed for use by the Spequlo Team on discord","title":"Hello Guys, Dipersa Test here"}],"content":null,"components":[],"nonce":"1733051564599523417","enforce_nonce":true,"tts":false} has returned 200
[2026-05-21 14:41:08] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (62df3a8bf3cb0dd93018dd80d06039f6).
[2026-05-21 14:41:08] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1498392287816712292/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'Hello Guys, Dipersa Test here', 'description': 'I am a discord bot designed for use by the Spequlo Team on discord', 'color': 3447003, 'content_scan_version': 0}], 'timestamp': '2026-05-21T19:41:07.772000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1507105986144370698', 'channel_id': '1498392287816712292', 'author': {'id': '1507073069074874419', 'username': 'Dipersa Test', 'avatar': None, 'discriminator': '2699', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '1733051564599523417'}
[2026-05-21 14:41:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'INTERACTION_CREATE', 's': 5, 'op': 0, 'd': {'version': 1, 'type': 2, 'token': 'aW50ZXJhY3Rpb246MTUwNzEwNTk5NDg4OTc1Njc4MjpRRlM1SW1BeFRUN0I5TEpGQzFRanZHdkNmU2pOQWdOYm96MUI4YVlzTnFTU0NYdXFvanU0dTE1dEppYVh0MG1yaGdwREVsNXgwU3JFem80V0JFaHhadmNVanphd1BJT0o2ZUowU3lXc0dvSG5hVE11RTd3Sm1sZDRjYUUxYUhybA', 'member': {'user': {'username': 'scar_agathor', 'public_flags': 0, 'primary_guild': None, 'id': '661983459954262036', 'global_name': 'jean pork', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '7ac59364ff9f929e9ccbe5a2ff8c6257'}, 'unusual_dm_activity_until': None, 'roles': ['1498394076884635740'], 'premium_since': None, 'permissions': '18014398509481983', 'pending': False, 'nick': 'Eddie', 'mute': False, 'joined_at': '2026-04-27T18:34:58.498000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'locale': 'en-US', 'id': '1507105994889756782', 'guild_locale': 'en-US', 'guild_id': '1498392028378173461', 'guild': {'locale': 'en-US', 'id': '1498392028378173461', 'features': []}, 'entitlements': [], 'entitlement_sku_ids': [], 'data': {'type': 1, 'options': [{'value': 'internal_tools', 'type': 3, 'name': 'team'}, {'value': 'current_sprint', 'type': 3, 'name': 'list'}], 'name': 'viewmytasks', 'id': '1507080803669250070', 'guild_id': '1498392028378173461'}, 'context': 0, 'channel_id': '1498392287816712292', 'channel': {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permissions': '18014398509481983', 'parent_id': '1498392030500356158', 'nsfw': False, 'name': 'commands', 'last_message_id': '1507105986144370698', 'id': '1498392287816712292', 'guild_id': '1498392028378173461', 'flags': 0}, 'authorizing_integration_owners': {'0': '1498392028378173461'}, 'attachment_size_limit': 524288000, 'application_id': '1507073069074874419', 'app_permissions': '2248490914147905'}}
[2026-05-21 14:41:10] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-05-21 14:41:10] [DEBUG   ] discord.client: Dispatching event interaction
